있다	To be
입히다	Clothe, dress
잇다	соединять; связывать
잇따르다	Follow one after another
있다	To be
잊다	To forget
잊어버리다	To forget
잊혀지다	To become forgotten
자라나다	вырастать; расти
자라다	расти; взрослеть; возрастать 커지다
자르다	разделять; разрезать; разрубать
잘리다	быть отрезанным (отсечённым, отрубленным
잘되다	To turn out well
잘못되다	To turn out wrong
잘살다	To be affluent, well-off
잠그다	запирать; закрывать; погружать 서랍을 ~
잠기다	быть запертым (закрытым); сдавить; сжать; быть погружённым 물에 ~
자다	To sleep
잠들다	Fall asleep
잠자다	Fall asleep
잡다	seize,catch
잡수다	eat,drink
잡수시다	eat,drink
잡아당기다	тащить (к себе); перетягивать (на свою сторону)
잡아먹다	Slaughter and eat
잡히다	To be caught ; to extinguish a fire 잡다'의 피동사
재다	measure,guage 저울로 ~
재우다	Put to sleep 고기를 양념에 ~
저러다	Like that
저지르다	do,commit,spoil
적다	Write down 답을 ~
적히다	To be recorded,written down
접다	Fold up
젓다	грести; махать; размахивать; размешивать
젖다	To be wet, soaked
조르다	To tease, urge sb 요구하다
졸다	doze,take a nap
졸리다	Feel sleepy,drowsy 자고 싶다
좁히다	Make narrow,restrict
주고받다	Give and receive, exchange
주다	To give, to do for a person
주무시다	To sleep (respectful word)
주어지다	To offer, proffer (conditions)
주저앉다	Sit down, plump down
죽다	die,pass away 굶어 ~
죽이다	To kill 굶겨 ~
죽다	Lose your spirit 심심해 ~
줄다	Diminish
줄어들다	Dwindle away
줄이다	reduce,decrease
줍다	Pick up, gather
중얼거리다	Mutter to oneself
쥐다	брать что (в руку); держать что (в руке) 주먹을 ~
즐거워하다	To enjoy it
즐기다	Enjoy oneself,take pleasure,delight
지나가다	To pass, elapse
지나다	pass,elapse,go on
지내다	To pass, spend time
지나치다	Go too far, to go to extremes
지니다	Carry with, hold, possess
지다	Carry (on the back) 등에 ~
지다	Set (the sun) 해가 ~
지다	To lose (at war, a game) 전쟁에 ~
지다	To fade away, come off 그늘이 ~
지르다	Holler, yell, scream 소리를 ~
지우다	вытирать; стирать 낙서를 ~
지우다	Put a thing on a person’s back 짐을 ~
지워지다	To be erased
지치다	Be exhausted, fatigued 일에 ~
지켜보다	Watch, stare at ( wait on some situation)
지키다	Protect, maintain
집다	Pick up
집어넣다	Put in
짓다	делать; создавать; приготовлять; устанавливать (связь; отношения)
짚다	опираться на что; трогать; предполагать
짜다	Form, organize 관을 ~
짜다	Squeeze, press out 빨래를 ~
쩔쩔매다	To be at a loss, be confused
쫓겨나다	Chase away ; to fire from your job
쫓기다	To be chased, be driven
쫓다	Drive away, chase off
찌다	To put on weight 살이 ~
찌다	chop,hack 떡을 ~
찌르다	stab,thrust
찍다	Stamp with a dojang 서류에 도장을 ~
찍히다	Get sealed, stamped 도장이 ~
찢다	Tear, rend, split
찢어지다	To be torn, rent
차다	ударять ногой; давать пинок 공을 ~
차다	заполняться; наполняться  가득 ~
차다	прицеплять (саблю); прикреплять (орден) 시계를 ~
차리다	Make ready,prepare
참다	Bear, endure
치우다	VST + Do away with, get rid of
찾다	seek,look for
찾아가다	To go to a place to meet somebody
찾아내다	To find out, discover
찾아다니다	To go around to meet somebody or see places
찾아보다	To go meet somebody
찾아오다	To go meet somebody, to go get sth
채우다	наливать (жидкость); наполнять; заполнять 자리를 ~
챙기다	gather,collect, assemble your stuff -- to amass (money, a collection)
쳐다보다	To look up at
추다	To dance 춤을 ~
춤추다	To dance
치다	нападать; атаковать; 얼굴을 ~
